Id,Depth,Azimuth,Dip,Easting,Northing,Elevation,MagneticField,BoreholeId,Borehole,IsDeleted
00a189a9-a6eb-445a-9cec-e3fb5ebccc5c,1530,226.9325599608589,-74.97015474462101,1610.1446833199534,1679.0669888598943,372.3399582898406,,,,False
135da13d-cfdd-4e9d-a398-2023d1bca9fd,150,226.9325599608589,-74.97015474462101,1871.5828120901915,1923.4379400843034,1705.131368459788,,,,False
1458229f-51a0-4c43-a30b-f9b178b0a518,690,226.9325599608589,-74.97015474462101,1769.280935614881,1827.8145243877955,1183.604294915025,,,,False
21e1c65b-1621-44a4-b61e-71b66ff3169e,1470,226.9325599608589,-74.97015474462101,1621.5115584838768,1689.691812826173,430.28741090592524,,,,False
29e9ad53-2b5e-4202-965f-e45ae52bea88,1020,226.9325599608589,-74.97015474462101,1706.7631222133023,1769.3779925732629,864.8933055265595,,,,False
30982018-e33b-4cce-bb2d-9388127b032f,1650,226.9325599608589,-74.97015474462101,1587.4109329921066,1657.817340927337,256.44505305767126,,,,False
31fd9d6a-9052-4bd4-86c9-7863ad91d9e8,510,226.9325599608589,-74.97015474462101,1803.3815611066511,1859.6889962866314,1357.4466527632794,,,,False
335aba36-499d-49e8-b99d-a54cd2107abf,90,226.9325599608589,-74.97015474462101,1882.949687254115,1934.062764050582,1763.0788210758728,,,,False
379cfe2d-6842-4374-b8af-0dbba57ea8c8,1170,226.9325599608589,-74.97015474462101,1678.3459343034938,1742.8159326575662,720.0246739863481,,,,False
437f554e-c6ee-4559-bf54-5d94421f5302,1290,226.9325599608589,-74.97015474462101,1655.612183975647,1721.566284725009,604.129768754179,,,,False
43b7722b-d1b0-4679-8122-00db71fd72ae,360,226.9325599608589,-74.97015474462101,1831.7987490164596,1886.251056202328,1502.3152843034914,,,,False
46f095d1-e49b-4b68-a027-417f68ee3ed8,480,226.9325599608589,-74.97015474462101,1809.0649986886128,1865.0014082697708,1386.4203790713218,,,,False
